code,name,revenue,net_profit,roe,revenue_growth,gross_margin,debt_ratio,current_ratio,asset_turnover
600183,生益科技,284.3114,33.3395,21.2500,39.4481,26.4727,42.2937,1.6051,0.9412
600905,三峡能源,283.9942,37.1440,4.2300,-4.4339,41.8118,71.9120,0.8906,0.0763
601872,招商轮船,281.7721,60.1210,14.5500,9.2170,26.4742,46.6762,0.4717,0.3691
600869,远东股份,281.0763,0.5888,1.3900,7.7182,9.1894,80.1718,0.9472,1.3618
600642,申能股份,280.2936,40.1339,10.7900,-5.3680,22.5598,54.7706,1.3214,0.2632
2156,通富微电,279.2142,12.1871,8.0800,16.9157,14.5857,63.7348,0.8240,0.6448
737,北方铜业,279.1611,7.9062,12.1800,15.8010,10.2797,62.9873,1.3234,1.5362
601699,潞安环能,278.2003,11.1515,2.4400,-22.3994,32.9891,41.5632,0.9037,0.3479
600528,中铁工业,276.9020,13.6679,5.2700,-4.5271,18.7299,56.4066,1.4201,0.4292
2271,东方雨虹,275.7865,1.1327,0.5000,-1.7000,24.8187,51.1381,1.0102,0.6380
2221,东华能源,275.2564,-9.2059,-8.7600,-11.0288,3.6992,72.2016,0.8930,0.6491
603233,大参林,275.0219,12.3525,17.1600,3.7954,34.3178,67.2994,0.8880,1.0393
688349,三一重能,273.8036,7.1221,5.1600,53.8943,9.6995,68.8439,1.1122,0.6311
543,皖能电力,273.0576,21.4914,12.9500,-9.2647,16.2694,62.7224,0.6416,0.3991
600583,海油工程,271.6343,20.8444,7.7800,-9.3174,13.8491,41.8329,1.6587,0.5576
2230,科大讯飞,271.0539,8.3939,4.5700,16.1174,42.3568,55.7205,1.3675,0.6279
600160,巨化股份,269.9087,37.8323,19.5700,10.3349,28.2328,38.4781,1.2407,0.8089
2146,荣盛发展,267.1470,-94.2755,-91.9500,-29.7156,8.2355,93.6832,1.0473,0.1830
600025,华能水电,265.9533,85.0414,12.9300,6.8875,56.9803,61.1345,0.1838,0.1205
600737,中粮糖业,265.1098,9.5123,8.2400,-18.4212,11.4127,44.1396,1.6543,1.2931
603876,鼎胜新材,263.0346,5.1287,7.1500,9.4989,9.0217,67.9608,1.1371,1.1093
2048,宁波华翔,261.8581,4.1818,3.6600,-0.5268,16.3143,52.4530,1.1623,0.9294
717,中南股份,261.3100,-11.5361,-15.7400,-16.1816,3.3118,63.4124,0.3936,1.3479
2601,龙佰集团,259.8754,12.4457,5.4700,-5.6328,21.0512,57.5439,0.9977,0.3979
900936,鄂资B股,257.4118,23.6277,11.0600,-9.3731,25.3052,41.6665,0.7612,0.5484
600295,鄂尔多斯,257.4118,23.6277,11.0600,-9.3731,25.3052,41.6665,0.7612,0.5484
568,泸州老窖,257.3101,108.3071,22.6600,-17.5189,86.6241,22.9970,3.8643,0.3866
422,湖北宜化,256.5288,8.0859,14.4100,1.0188,18.1442,70.5466,0.6170,0.5685
786,北新建材,252.8026,29.0638,11.1100,-2.0947,28.8149,21.5984,1.8084,0.7098
601216,君正集团,252.3828,33.1746,11.7800,0.1076,20.9424,28.5941,1.3009,0.5945
601866,中远海发,252.0075,16.0940,5.2700,-8.7835,19.1816,76.2692,0.4394,0.1954
2010,传化智联,250.9660,5.8965,3.3200,-6.0663,14.9993,50.3785,1.1741,0.6256
603529,爱玛科技,250.9457,20.3450,21.1800,16.1447,18.2909,60.5670,0.8727,1.0265
603899,晨光股份,250.6391,13.1045,14.5600,3.4491,18.3575,45.3554,1.9276,1.4462
300979,华利集团,249.8013,32.0667,18.9700,4.0561,21.8878,27.5727,2.3429,1.1053
600498,烽火通信,249.1855,4.3583,3.1400,-12.7160,21.0980,59.4945,1.5166,0.5421
62,深圳华强,249.0889,4.6294,6.6600,13.4609,8.1987,58.3602,1.6718,1.3864
900923,百联B股,247.8487,6.3108,3.1600,-10.4423,24.8975,61.2330,0.7329,0.4378
600827,百联股份,247.8487,6.3108,3.1600,-10.4423,24.8975,61.2330,0.7329,0.4378
600577,精达股份,246.7367,5.9914,10.0700,10.5323,5.7405,56.3950,1.4688,1.8214
601966,玲珑轮胎,246.4216,13.6887,6.1000,11.7156,17.0305,51.2226,0.8898,0.5218
600686,金龙汽车,245.4677,4.6834,13.9100,6.8851,12.7234,84.8070,1.0221,0.8785
401,金隅冀东,245.0091,2.1870,0.7900,-3.1073,22.1352,48.3902,0.8420,0.4201
603939,益丰药房,244.3317,16.7848,14.9800,1.5419,39.3557,54.9080,1.4317,0.8816
2841,视源股份,243.5388,10.1345,7.6500,8.7170,20.0377,46.8811,1.1330,0.9979
603236,移远通信,243.2647,8.3707,18.7600,30.8293,17.4140,59.6615,1.4994,1.6275
601156,东航物流,242.6449,26.8805,14.4300,0.8678,19.6254,30.6490,2.1332,0.8363
2567,唐人神,242.1486,-11.8704,-22.4200,-0.5246,4.1380,66.4284,0.8448,1.4046
600372,中航机载,242.1196,10.6732,2.8200,1.3913,28.7016,52.1464,1.6038,0.3001
600873,梅花生物,242.0868,32.8088,21.4800,-3.4329,18.9985,36.9209,1.3338,0.9737
